"speed_reading_run_id","speed_reading_junction_from","speed_reading_junction_to","speed_reading_direction","speed_reading"
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J1,J2,NB,65.86535
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J2,J4,NB,70
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J2,J1,SB,63.42839
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J4,J5,NB,69.45903
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J4,J2,SB,68.70079
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J5,J6,NB,70
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J5,J4,SB,70
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J6,J6A,NB,65.86535
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J6,J5,SB,67.72946
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J6A,J7,NB,65.74497
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J6A,J6,SB,67.108086
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J7,J8,NB,57.58
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J7,J6A,SB,64.001236
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J8,J9,NB,68.334114
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J8,J7,SB,60.592133
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J9,J10,NB,59.514896
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J9,J8,SB,59.06456
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J10,J11,NB,45.794613
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J10,J9,SB,61.384865
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J11,J11A,NB,46.80487
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J11,J10,SB,48.231163
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J11A,J12,NB,47.055584
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J11A,J11,SB,47.74047
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J12,J13,NB,48.18684
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J12,J11A,SB,48.82918
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J13,J14,NB,66.942856
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J13,J12,SB,48.503147
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J14,J15,NB,62.95378
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J14,J13,SB,56.786556
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J15,J15A,NB,62.022026
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J15,J14,SB,65.419266
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J15A,J16,NB,59.31788
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J15A,J15,SB,67.629295
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J16,J17,NB,57.468864
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J16,J15A,SB,65.58972
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J17,J18,NB,64.536
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J17,J16,SB,66.8603
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J18,J19,NB,62.354034
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J18,J17,SB,60.273006
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J19,J20,NB,63.414974
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J19,J18,SB,61.299213
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J20,J21,NB,60.51781
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J20,J19,SB,65.18683
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J21,J21A,NB,66.23447
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J21,J20,SB,70
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J21A,J22,NB,70
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J21A,J21,SB,70
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J22,J23,NB,68.008705
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J22,J21A,SB,70
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J23,J23A,NB,66.345634
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J23,J22,SB,63.00226
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J23A,J24,NB,63.730324
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J23A,J23,SB,56.401817
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J24,J24A,NB,68.35083
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J24,J23A,SB,57.509323
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J24A,J25,NB,68.01797
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J24A,J24,SB,56.86009
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J25,J26,NB,70
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J25,J24A,SB,55.92341
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J26,J27,NB,69.718216
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J26,J25,SB,68.27666
"61366ef8-3a1f-4a19-85ec-dde2c2f07137",J27,J28,NB,70
